,,Kolkata Auctions During 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata Auctions During 2011,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,Sold,,,,,,,,,,,,,,,,,Week ending,Date of Sale,Sale No.,Offer,,,,,,,Sold,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Green Leaf,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Darj Leaf,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Darj Leaf,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2012,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2012,Avg Price 2012,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2011,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2011,Avg Price 2011
7-Jan-12,3-Jan-12,1,3394874.25,1097764.50,788877.50,50354.00,0.00,0.00,0.00,5331870.25,2760725.55,124.28,880430.70,115.94,526708.80,104.05,40479.00,67.06,0.00,0.00,0.00,0.00,0.00,0.00,4208344.05,119.46,,8-Jan-11,4-Jan-11,1,3272651.00,1153986.50,0.00,45617.60,0.00,0.00,4472255.10,2538108.40,116.88,832671.60,115.55,0.00,0.00,44697.60,74.06,0.00,0.00,0.00,0.00,3415477.60,116.00
14-Jan-12,10-Jan-12,2,3284943.90,1206742.10,550389.20,69068.00,0.00,0.00,0.00,5111143.20,2685098.20,121.66,976575.00,114.17,375276.30,102.72,51478.00,71.67,0.00,0.00,0.00,0.00,0.00,0.00,4088427.50,117.50,,15-Jan-11,11-Jan-11,2,3116510.35,1128888.30,0.00,49022.30,0.00,0.00,4294420.95,2606864.73,116.74,785288.10,110.78,0.00,0.00,47426.60,68.98,0.00,0.00,0.00,0.00,3439579.43,114.72
21-Jan-12,17-Jan-12,3,3152440.40,1275106.70,581528.50,72184.00,0.00,0.00,0.00,5081259.60,2579715.20,116.16,1019457.10,109.78,378353.00,92.43,65585.00,63.39,0.00,0.00,0.00,0.00,0.00,0.00,4043110.30,111.47,,22-Jan-11,18-Jan-11,3,3321745.31,1283605.10,0.00,44688.00,0.00,0.00,4650038.41,2809280.21,115.10,928279.40,109.32,0.00,0.00,43388.00,72.27,0.00,0.00,0.00,0.00,3780947.61,113.19
28-Jan-12,24-Jan-12,4,2097890.60,938768.70,541418.80,56696.60,0.00,0.00,0.00,3634774.70,1643752.40,118.38,780755.20,102.37,351805.30,97.91,52315.60,64.25,0.00,0.00,0.00,0.00,0.00,0.00,2828628.50,110.42,,29-Jan-11,24-Jan-11,4,3282403.42,1150302.90,0.00,42533.90,0.00,0.00,4475240.22,2713729.62,113.55,911215.90,107.97,0.00,0.00,41438.90,70.71,0.00,0.00,0.00,0.00,3666384.42,111.68
4-Feb-12,31-Jan-12,5,2964035.40,1238996.70,452532.90,105764.00,0.00,0.00,0.00,4761329.00,2394304.50,114.46,1032730.40,100.47,299845.50,90.71,93864.00,61.09,0.00,0.00,0.00,0.00,0.00,0.00,3820744.40,107.50,,5-Feb-11,1-Feb-11,5,2901669.72,1162863.20,0.00,22587.00,0.00,0.00,4087119.92,2324310.81,110.59,892952.70,102.78,0.00,0.00,22587.00,78.21,0.00,0.00,0.00,0.00,3239850.51,108.21
11-Feb-12,7-Feb-12,6,1745426.20,690548.30,370684.45,35995.00,0.00,0.00,0.00,2842653.95,1446283.20,109.68,587564.10,102.34,252885.35,104.43,35605.00,63.05,0.00,0.00,0.00,0.00,0.00,0.00,2322337.65,106.54,,12-Feb-11,7-Feb-11,6,2670267.81,1158170.00,0.00,30723.00,0.00,0.00,3859160.81,2126707.30,105.06,839619.40,96.43,0.00,0.00,30723.00,72.52,0.00,0.00,0.00,0.00,2997049.70,102.31
18-Feb-12,14-Feb-12,7,2663249.10,1134848.40,373076.40,87531.00,0.00,0.00,0.00,4258704.90,2236226.00,105.70,941804.90,99.20,263425.30,102.98,78866.00,60.80,0.00,0.00,0.00,0.00,0.00,0.00,3520322.20,102.75,,19-Feb-11,15-Feb-11,7,2550798.30,1227819.00,0.00,56653.00,0.00,0.00,3835270.30,1880712.00,100.44,935385.00,93.76,0.00,0.00,56293.00,68.11,0.00,0.00,0.00,0.00,2872390.00,97.63
