,Cochin Auctions During 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cochin Auctions During 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2013,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2013,Avg Price 2013,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2012,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2012,Avg Price 2012
5-Jan-13,2-Jan-13,1,94969.00,1284079.45,198290.00,23101.00,0.00,0.00,0.00,0.00,1600439.45,87249.00,97.89,1150464.90,104.39,140095.00,122.08,14360.00,83.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1392168.90,105.55,,7-Jan-12,3-Jan-12,1,98352.00,1183558.10,210885.00,17706.00,0.00,0.00,,0.00,1510501.10,89517.00,65.35,1046815.20,84.40,144972.00,81.71,9902.00,65.02,0.00,0.00,0.00,0.00,,,0.00,0.00,1291206.20,82.63
12-Jan-13,8-Jan-13,2,116577.00,1185234.10,147671.00,16525.00,0.00,0.00,0.00,0.00,1466007.10,91869.00,100.20,1048859.40,104.62,82064.00,127.74,8529.00,83.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1231321.40,105.68,,14-Jan-12,10-Jan-12,2,83325.00,1142078.30,188372.00,22068.00,0.00,0.00,,0.00,1435843.30,77015.00,68.03,957029.30,84.87,142808.00,84.54,6361.00,58.79,0.00,0.00,0.00,0.00,,,0.00,0.00,1183213.30,83.59
19-Jan-13,15-Jan-13,3,140574.00,1318828.20,308139.00,21363.00,0.00,0.00,0.00,0.00,1788904.20,91073.00,97.18,1124314.20,102.13,206818.00,126.82,7904.00,80.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1430109.20,105.27,,21-Jan-12,17-Jan-12,3,71897.00,1105568.00,135846.00,15810.00,0.00,0.00,,0.00,1329121.00,68187.00,70.11,923409.30,83.96,101313.00,86.53,1463.00,70.03,0.00,0.00,0.00,0.00,,,0.00,0.00,1094372.30,83.32
26-Jan-13,22-Jan-13,4,98616.00,1207025.30,205623.00,17798.00,0.00,0.00,0.00,0.00,1529062.30,82595.00,94.93,1060973.40,102.10,117250.00,120.45,13076.00,87.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1273894.40,103.18,,28-Jan-12,24-Jan-12,4,91279.00,1062252.10,164846.00,14805.00,0.00,0.00,,0.00,1333182.10,78695.00,70.73,950660.00,83.99,118431.00,93.37,6122.00,55.15,0.00,0.00,0.00,0.00,,,0.00,0.00,1153908.00,83.90
2-Feb-13,29-Jan-13,5,98235.00,1172036.90,196720.00,15475.00,0.00,0.00,0.00,0.00,1482466.90,94151.00,97.70,1103138.90,103.47,129647.50,119.42,10078.00,87.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1337015.40,104.49,,4-Feb-12,31-Jan-12,5,83746.00,1039329.40,136420.00,12010.00,0.00,0.00,,0.00,1271505.40,71188.00,70.63,937530.60,83.13,100359.00,92.29,3450.00,65.16,0.00,0.00,0.00,0.00,,,0.00,0.00,1112527.60,83.10
9-Feb-13,5-Feb-13,6,69977.00,1069590.90,195676.00,10756.00,0.00,0.00,0.00,0.00,1345999.90,62572.00,101.44,1016729.10,104.92,117392.00,118.60,8409.00,83.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1205102.10,105.92,,11-Feb-12,7-Feb-12,6,89650.00,1024848.30,133988.00,4176.00,0.00,0.00,,0.00,1252662.30,85480.00,69.23,983017.70,84.98,78319.00,93.97,1764.00,61.78,0.00,0.00,0.00,0.00,,,0.00,0.00,1148580.70,84.38
16-Feb-13,12-Feb-13,7,55406.00,939174.60,149520.00,10086.00,0.00,0.00,0.00,0.00,1154186.60,47844.00,103.49,843991.20,105.99,76662.00,124.53,9014.00,91.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,977511.20,107.19,,18-Feb-12,14-Feb-12,7,88993.00,1008905.30,116067.00,6642.50,0.00,0.00,,0.00,1220607.80,79151.00,66.77,931543.70,86.98,69143.00,97.00,2416.50,66.96,0.00,0.00,0.00,0.00,,,0.00,0.00,1082254.20,86.10
