,,Kolkata Auctions During 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata Auctions During 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2013,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2013,Avg Price 2013,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2012,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2012,Avg Price 2012
5-Jan-13,2-Jan-13,1,3291234.75,1062907.50,290290.20,32976.20,22699.00,0.00,0.00,0.00,4700107.65,2870991.35,144.40,932289.00,146.04,261241.70,169.77,28657.20,110.18,18773.00,128.55,0.00,0.00,0.00,0.00,0.00,0.00,4111952.25,145.49,,7-Jan-12,3-Jan-12,1,3394874.25,1097764.50,788877.50,50354.00,0.00,0.00,0.00,0.00,5331870.25,2760725.55,124.28,880430.70,115.94,526708.80,104.05,40479.00,67.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4208344.05,119.46
12-Jan-13,8-Jan-13,2,3347287.50,1026594.50,280269.62,20792.70,17268.60,0.00,0.00,0.00,4692212.92,2664343.90,141.73,895235.90,143.72,250189.52,171.97,19836.90,107.10,11090.60,140.28,0.00,0.00,0.00,0.00,0.00,0.00,3840696.82,143.57,,14-Jan-12,10-Jan-12,2,3284943.90,1206742.10,550389.20,69068.00,0.00,0.00,0.00,0.00,5111143.20,2685098.20,121.66,976575.00,114.17,375276.30,102.72,51478.00,71.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4088427.50,117.50
19-Jan-13,15-Jan-13,3,3185563.40,1170570.00,361045.70,36237.30,26939.30,0.00,0.00,0.00,4780355.70,2493407.20,136.72,1010976.20,140.42,317422.10,167.93,35541.50,109.01,21236.40,111.73,0.00,0.00,0.00,0.00,0.00,0.00,3878583.40,139.24,,21-Jan-12,17-Jan-12,3,3152440.40,1275106.70,581528.50,72184.00,0.00,0.00,0.00,0.00,5081259.60,2579715.20,116.16,1019457.10,109.78,378353.00,92.43,65585.00,63.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4043110.30,111.47
26-Jan-13,22-Jan-13,4,2355486.40,917125.50,213034.10,31970.50,20537.00,0.00,0.00,0.00,3538153.50,1990096.90,138.76,798998.50,143.25,172268.10,168.86,30338.90,106.88,17246.00,109.38,0.00,0.00,0.00,0.00,0.00,0.00,3008948.40,140.56,,28-Jan-12,24-Jan-12,4,2097890.60,938768.70,541418.80,56696.60,0.00,0.00,0.00,0.00,3634774.70,1643752.40,118.38,780755.20,102.37,351805.30,97.91,52315.60,64.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2828628.50,110.42
2-Feb-13,29-Jan-13,5,3126153.46,1207928.60,195281.60,51724.30,6112.00,0.00,0.00,0.00,4587199.96,2332651.06,130.58,1022382.00,132.00,176009.60,169.83,48409.30,109.39,6112.00,88.51,0.00,0.00,0.00,0.00,0.00,0.00,3585563.96,132.41,,4-Feb-12,31-Jan-12,5,2964035.40,1238996.70,452532.90,105764.00,0.00,0.00,0.00,0.00,4761329.00,2394304.50,114.46,1032730.40,100.47,299845.50,90.71,93864.00,61.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3820744.40,107.50
9-Feb-13,5-Feb-13,6,2957726.50,1170439.10,141167.90,38216.00,4434.20,0.00,0.00,0.00,4311983.70,2440721.80,130.65,1063655.10,130.47,120224.80,145.52,37320.20,107.56,4434.20,109.89,0.00,0.00,0.00,0.00,0.00,0.00,3666356.10,130.69,,11-Feb-12,7-Feb-12,6,1745426.20,690548.30,370684.45,35995.00,0.00,0.00,0.00,0.00,2842653.95,1446283.20,109.68,587564.10,102.34,252885.35,104.43,35605.00,63.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2322337.65,106.54
16-Feb-13,12-Feb-13,7,2472249.00,1223911.80,127429.60,34394.50,3247.00,0.00,0.00,0.00,3861231.90,2051377.80,128.83,1102701.90,128.07,102742.20,150.66,34394.50,103.75,3247.00,108.39,0.00,0.00,0.00,0.00,0.00,0.00,3294463.40,128.87,,18-Feb-12,14-Feb-12,7,2663249.10,1134848.40,373076.40,87531.00,0.00,0.00,0.00,0.00,4258704.90,2236226.00,105.70,941804.90,99.20,263425.30,102.98,78866.00,60.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3520322.20,102.75
