,Guwahati Auctions During 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guwahati Auctions During 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Total Offer Kgs 2014,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2014,Avg Price 2014,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2013,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2013,Avg Price 2013
4-Jan-14,2-Jan-14,1,2889384.90,1218163.90,17145.50,0.00,0.00,0.00,0.00,0.00,4124694.30,2219317.90,117.12,929028.30,116.31,15941.80,135.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3164288.00,116.98,,5-Jan-13,2-Jan-13,1,3007205.00,1093357.50,19812.80,0.00,0.00,0.00,0.00,0.00,4120375.30,2473054.60,129.32,1007141.70,132.02,16411.60,186.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3496607.90,130.36
11-Jan-14,8-Jan-14,2,2885826.10,1427596.80,40063.60,0.00,0.00,0.00,0.00,0.00,4353486.50,2142144.70,113.28,978570.80,113.01,26418.90,138.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3147134.40,113.41,,12-Jan-13,9-Jan-13,2,2953595.00,1152698.20,16887.30,0.00,0.00,0.00,0.00,0.00,4123180.50,2255017.00,120.67,962075.30,125.30,16887.30,159.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3233979.60,122.25
18-Jan-14,16-Jan-14,3,2697261.40,1230885.60,12342.00,0.00,0.00,0.00,0.00,0.00,3940489.00,2021717.40,108.68,888901.40,106.04,9034.50,127.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2919653.30,107.93,,19-Jan-13,15-Jan-13,3,2695965.20,1016453.00,9560.10,0.00,0.00,0.00,0.00,0.00,3721978.30,2067506.70,121.71,831905.00,121.67,9099.40,156.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2908511.10,121.80
25-Jan-14,22-Jan-14,4,2297174.10,989109.10,10421.60,0.00,0.00,0.00,0.00,0.00,3296704.80,1758828.90,108.16,672977.90,106.95,10421.60,125.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2442228.40,107.90,,26-Jan-13,22-Jan-13,4,2706544.50,818977.10,9220.90,0.00,0.00,0.00,0.00,0.00,3534742.50,2036214.00,116.72,594499.60,116.34,9220.90,125.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2639934.50,116.67
1-Feb-14,28-Jan-14,5,1879622.80,964737.50,18316.70,0.00,0.00,0.00,0.00,0.00,2862677.00,1494853.50,107.00,741027.60,108.42,12106.90,105.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2247988.00,107.46,,2-Feb-13,29-Jan-13,5,1744629.60,621396.90,1362.50,0.00,0.00,0.00,0.00,0.00,2367389.00,1373162.20,117.00,510017.80,115.99,1362.50,114.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1884542.50,116.72
8-Feb-14,5-Feb-14,6,1560507.30,866819.70,7492.60,0.00,0.00,0.00,0.00,0.00,2434819.60,1219841.00,107.90,653579.30,99.82,5049.70,92.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1878470.00,105.05,,9-Feb-13,5-Feb-13,6,1457063.40,591843.20,4264.30,0.00,0.00,0.00,0.00,0.00,2053170.90,1219063.50,119.51,510900.80,118.22,4264.30,99.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1734228.60,119.08
15-Feb-14,11-Feb-14,7,1140020.35,499368.80,7910.90,0.00,0.00,0.00,0.00,0.00,1647300.05,872031.65,108.79,425190.80,114.24,7632.80,110.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1304855.25,110.58,,16-Feb-13,12-Feb-13,7,1230233.80,405325.80,3808.60,0.00,0.00,0.00,0.00,0.00,1639368.20,1117626.50,121.02,363818.60,119.99,3808.60,105.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1485253.70,120.73
