,Coonoor Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coonoor Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2016,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2015,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-16,7-Jan-16,1,787298.00,390466.00,87155.00,67642.00,0.00,0.00,0.00,0.00,346.00,1332907.00,761249.00,88.10,361043.00,90.89,67133.50,106.70,61996.00,97.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.00,200.00,1251594.50,90.41,,3-Jan-15,2-Jan-15,1,879915.00,360665.00,40470.80,66577.00,0.00,0.00,0.00,0.00,0.00,1347627.80,759246.00,68.89,334868.00,73.90,34365.60,90.42,48580.00,90.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1177059.60,71.83
16-Jan-16,14-Jan-16,2,633852.00,290275.00,52946.50,52187.00,0.00,0.00,0.00,0.00,0.00,1029260.50,580663.00,92.69,258536.00,97.74,39148.50,111.14,49271.00,97.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,927618.50,95.14,,10-Jan-15,8-Jan-15,2,1113834.00,415235.00,59866.80,68323.00,0.00,0.00,0.00,0.00,0.00,1657258.80,903952.00,69.72,364188.00,74.62,40620.80,91.36,54478.00,95.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1363238.80,72.71
23-Jan-16,21-Jan-16,3,587368.50,257869.00,51174.50,49950.00,0.00,0.00,0.00,0.00,172.00,946534.00,542601.50,95.17,235086.00,100.54,31619.00,103.46,42979.00,96.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,852285.50,97.05,,17-Jan-15,16-Jan-15,3,776013.00,322325.00,42072.60,50807.00,0.00,0.00,0.00,0.00,0.00,1191217.60,704831.00,74.62,295200.00,81.61,37047.60,93.56,43013.00,90.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1080091.60,77.81
30-Jan-16,28-Jan-16,4,443478.00,190990.00,43538.00,46104.00,0.00,0.00,0.00,0.00,346.00,724456.00,402379.00,101.57,184538.00,107.48,31514.50,105.55,40063.00,92.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,658494.50,102.88,,24-Jan-15,22-Jan-15,4,799535.00,299408.00,50116.60,42647.00,0.00,0.00,0.00,0.00,0.00,1191706.60,642917.00,76.93,260604.00,81.39,36088.80,89.24,30545.00,82.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,970154.80,78.78
6-Feb-16,4-Feb-16,5,484833.00,208575.00,55986.50,52721.00,0.00,0.00,0.00,0.00,346.00,802461.50,461701.00,102.36,194917.00,112.56,42816.00,107.72,45170.00,91.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,744604.00,104.68,,31-Jan-15,29-Jan-15,5,679704.00,292798.00,32692.00,42091.00,0.00,0.00,0.00,0.00,0.00,1047285.00,591184.00,77.63,255691.00,80.46,32055.60,90.72,27655.00,92.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,906585.60,79.35
13-Feb-16,11-Feb-16,6,499543.00,211155.00,42284.00,41947.00,0.00,0.00,0.00,0.00,172.00,795101.00,447684.00,109.31,192779.00,116.49,32484.50,109.38,37603.00,96.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,710550.50,110.58,,7-Feb-15,5-Feb-15,6,757242.00,323979.00,45464.60,41440.00,0.00,0.00,0.00,0.00,0.00,1168125.60,626515.00,78.77,278774.00,81.26,42740.60,89.23,30716.00,98.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,978745.60,80.55
