,,Kolkata Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2016,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2015,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-16,5-Jan-16,1,3248314.11,1249378.10,278358.30,42946.10,0.00,0.00,0.00,0.00,0.00,4818996.61,2483995.21,146.93,1014709.70,143.31,245895.30,189.53,42732.70,111.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3787332.91,148.33,,10-Jan-15,6-Jan-15,1,3367213.30,1173895.25,384632.31,52325.00,0.00,0.00,0.00,0.00,0.00,4978065.86,2643911.92,144.48,944843.65,146.79,324895.91,162.89,50416.15,106.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3964067.63,146.06
16-Jan-16,12-Jan-16,2,2965137.70,1071454.40,173836.90,39642.10,0.00,0.00,0.00,0.00,0.00,4250071.10,2096794.90,140.19,840485.60,139.78,158255.20,173.04,37271.90,100.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3132807.60,141.26,,17-Jan-15,13-Jan-15,2,3366610.06,1233356.50,226091.80,35230.70,0.00,0.00,0.00,0.00,0.00,4861289.06,2357246.82,144.10,894217.40,144.23,177818.80,153.26,31990.50,109.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3461273.52,144.29
23-Jan-16,19-Jan-16,3,2696982.93,1024297.88,152453.80,23886.60,0.00,0.00,0.00,0.00,0.00,3897621.21,1797140.06,131.79,808855.48,131.75,122229.80,187.22,23886.60,114.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2752111.94,134.09,,24-Jan-15,20-Jan-15,3,3185717.16,1282383.86,285576.70,64250.15,0.00,0.00,0.00,0.00,0.00,4817927.87,2273633.72,135.38,986426.01,136.90,211711.50,158.36,61864.70,106.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3533635.93,136.67
30-Jan-16,26-Jan-16,4,2718027.29,1115156.12,0.00,23825.80,0.00,0.00,0.00,0.00,0.00,3857009.21,1837380.33,122.42,909254.92,121.50,0.00,0.00,22312.60,114.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2768947.85,122.06,,31-Jan-15,27-Jan-15,4,3140770.14,1294933.35,214195.20,54096.10,0.00,0.00,0.00,0.00,0.00,4703994.79,2093285.55,131.19,1034838.70,132.07,178559.80,156.45,52593.15,109.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3359277.20,132.46
6-Feb-16,2-Feb-16,5,2412382.71,1086641.75,202774.25,23362.40,0.00,0.00,0.00,0.00,0.00,3725161.11,1617880.45,119.78,815595.70,114.67,183443.45,173.56,22706.60,103.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2639626.20,121.80,,7-Feb-15,3-Feb-15,5,2910768.66,1143310.85,91551.05,46407.35,0.00,0.00,0.00,0.00,0.00,4192037.91,1871026.98,120.88,865974.00,130.67,86045.65,151.91,42257.70,113.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2865304.33,124.66
13-Feb-16,9-Feb-16,6,1498272.52,519943.05,53730.00,3542.80,0.00,0.00,0.00,0.00,0.00,2075488.37,1072783.77,123.93,379529.75,117.85,38519.00,135.01,3542.80,89.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1494375.32,122.59,,14-Feb-15,10-Feb-15,6,3218675.53,1301262.10,169844.30,40473.40,0.00,0.00,0.00,0.00,0.00,4730255.33,1982122.73,120.49,895676.75,124.22,154264.70,148.93,31163.05,94.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3063227.23,122.75
20-Feb-16,16-Feb-16,7,1533582.29,376503.10,0.00,3037.40,0.00,0.00,0.00,0.00,0.00,1913122.79,1019797.99,120.56,299472.10,115.73,0.00,0.00,3037.40,97.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1322307.49,119.41,,21-Feb-15,17-Feb-15,7,3042549.68,1420734.38,64235.40,39232.00,0.00,0.00,0.00,0.00,0.00,4566751.46,1623700.37,109.07,885804.05,114.11,61676.20,148.98,32655.85,96.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2603836.47,111.57
27-Feb-16,23-Feb-16,8,732839.29,274980.80,0.00,2607.80,0.00,0.00,0.00,0.00,0.00,1010427.89,538626.85,110.75,210638.70,107.76,0.00,0.00,2607.80,68.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,751873.35,109.77,,28-Feb-15,24-Feb-15,8,3170197.65,1311367.63,0.00,39049.65,0.00,0.00,0.00,0.00,0.00,4520614.93,1866607.58,95.61,875530.33,97.23,0.00,0.00,37752.40,89.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2779890.31,96.04
5-Mar-16,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7-Mar-15,3-Mar-15,9,1321039.04,833410.88,0.00,26974.35,0.00,0.00,0.00,0.00,0.00,2181424.27,857968.16,89.24,619069.63,83.78,0.00,0.00,21846.30,71.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1498884.09,86.73
12-Mar-16,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,14-Mar-15,10-Mar-15,10,2036204.97,689919.35,60066.15,24414.75,0.00,0.00,0.00,0.00,0.00,2810605.22,1311564.79,89.98,571010.70,97.05,60066.15,161.29,21939.40,81.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1964581.04,94.11
19-Mar-16,15-Mar-16,11,943791.54,247002.35,99732.18,269.80,0.00,0.00,0.00,0.00,0.00,1290795.87,721285.72,112.02,171949.35,109.90,51453.48,170.19,269.80,130.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,944958.35,114.81,,21-Mar-15,,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26-Mar-16,,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,28-Mar-15,24-Mar-15,12,2518958.99,981055.83,0.00,15716.65,0.00,0.00,0.00,0.00,0.00,3515731.47,1887386.99,84.42,761265.98,86.59,0.00,0.00,12889.85,69.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2661542.82,84.97
2-Apr-16,,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4-Apr-15,,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9-Apr-16,5-Apr-16,14,619948.07,116790.20,71620.63,2137.60,0.00,0.00,0.00,0.00,0.00,810496.50,369211.67,146.54,59732.40,126.74,36268.43,158.28,2137.60,124.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,467350.10,144.82,,11-Apr-15,7-Apr-15,14,910705.25,120215.45,16362.40,587.40,0.00,0.00,0.00,0.00,0.00,1047870.50,657769.95,108.73,87593.25,103.30,12557.40,139.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,757920.60,108.62
