,Guwahati Auctions During 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guwahati Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2017,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2017,Avg Price 2017,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2016,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan-17,3-Jan-17,1,4438353.40,1636084.00,15475.60,895.40,0.00,0.00,0.00,0.00,485.60,0.00,6091294.00,2938791.40,121.57,1222403.20,129.37,14090.30,165.87,895.40,91.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,485.60,221.00,0.00,0.00,4176665.90,124.01,,9-Jan-16,5-Jan-16,1,4675589.90,1792203.80,11446.50,0.00,0.00,0.00,0.00,0.00,0.00,6479240.20,3451370.80,127.87,1393255.80,132.34,9782.80,153.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4854409.40,129.21
14-Jan-17,10-Jan-17,2,4785635.60,1555805.90,15613.10,4237.00,0.00,0.00,0.00,0.00,895.00,0.00,6362186.60,3040977.70,117.49,1111331.30,125.79,12314.80,172.83,4237.00,83.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,895.00,170.25,0.00,0.00,4169755.80,119.84,,16-Jan-16,12-Jan-16,2,1713211.90,943801.10,14599.30,0.00,0.00,0.00,0.00,0.00,0.00,2671612.30,1278337.00,127.23,742536.60,130.89,10538.90,155.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2031412.50,128.72
21-Jan-17,17-Jan-17,3,4562862.80,1500529.70,20419.40,3166.60,0.00,0.00,0.00,0.00,1667.60,0.00,6088646.10,2777940.20,114.99,1087843.60,126.47,16363.20,165.26,3166.60,86.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1442.60,183.24,0.00,0.00,3886756.20,118.42,,23-Jan-16,19-Jan-16,3,4383979.50,1495639.60,11087.50,0.00,0.00,0.00,0.00,0.00,0.00,5890706.60,2947282.10,112.81,1195943.10,121.59,10869.20,151.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4154094.40,115.43
28-Jan-17,24-Jan-17,4,4670414.10,1558641.50,21145.60,1437.10,0.00,0.00,0.00,0.00,1589.00,0.00,6253227.30,2976521.80,108.67,1147970.10,117.68,14571.50,128.66,1437.10,100.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1364.00,173.36,0.00,0.00,4141864.50,111.26,,30-Jan-16,26-Jan-16,4,2865200.30,891447.10,5479.50,0.00,0.00,0.00,0.00,0.00,0.00,3762126.90,1916813.40,114.79,745300.60,118.03,5479.50,138.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2667593.50,115.74
4-Feb-17,31-Jan-17,5,4559774.90,1588366.90,22863.00,2795.30,0.00,0.00,0.00,0.00,1843.20,0.00,6175643.30,3229958.60,104.31,1157435.50,111.36,14022.40,162.68,2795.30,68.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1710.40,218.37,0.00,0.00,4405922.20,106.37,,6-Feb-16,2-Feb-16,5,2735166.10,721424.20,3835.80,0.00,0.00,0.00,0.00,0.00,0.00,3460426.10,1870462.90,110.52,539862.30,121.78,3490.20,155.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2413815.40,113.10
11-Feb-17,7-Feb-17,6,4202112.10,1611271.20,35101.50,4187.50,0.00,0.00,0.00,0.00,1880.60,0.00,5854552.90,3358566.50,104.66,1249122.70,108.22,24959.90,117.68,4187.50,74.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1880.60,264.37,0.00,0.00,4638717.20,105.72,,13-Feb-16,9-Feb-16,6,2075870.40,685186.40,10250.00,0.00,0.00,0.00,0.00,0.00,0.00,2771306.80,1279132.00,112.86,495893.50,114.40,9567.00,131.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1784592.50,113.39
