,Coimbatore Auctions During 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coimbatore Auctions During 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2020,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2020,Avg Price 2020,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2019,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-20,2-Jan-20,1,174380.00,303372.00,19982.00,25913.00,0.00,0.00,0.00,0.00,0.00,0.00,523647.00,148916.00,93.46,243229.00,96.54,10670.00,113.79,6035.00,81.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,408850.00,95.65,,5-Jan-19,2-Jan-19,1,115185.00,289514.00,14035.00,15472.00,0.00,0.00,0.00,0.00,0.00,0.00,434206.00,90849.00,99.06,225627.00,109.48,10294.00,110.54,12435.00,92.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,339205.00,106.10,,,
11-Jan-20,8-Jan-20,2,174911.00,301459.00,19374.00,28764.00,0.00,0.00,0.00,0.00,0.00,0.00,524508.00,123292.00,92.28,252461.00,94.74,8618.00,110.48,8730.00,90.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393101.00,94.22,,12-Jan-19,9-Jan-19,2,115848.00,282135.00,10706.00,16697.00,0.00,0.00,0.00,0.00,0.00,0.00,425386.00,84077.00,102.80,210088.00,109.48,9906.00,101.43,13510.00,93.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317581.00,106.78,,,
18-Jan-20,15-Jan-20,3,147197.00,281722.00,10330.00,19790.00,0.00,0.00,0.00,0.00,0.00,0.00,459039.00,75377.00,92.77,138439.00,95.99,2882.00,137.58,10954.00,82.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227652.00,94.78,,19-Jan-19,16-Jan-19,3,103219.00,290458.00,15224.00,14586.00,0.00,0.00,0.00,0.00,0.00,0.00,423487.00,64341.00,102.77,189444.00,108.98,10524.00,111.99,14586.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278895.00,107.08,,,
25-Jan-20,22-Jan-20,4,141327.00,261384.00,14551.00,19239.00,0.00,0.00,0.00,0.00,0.00,0.00,436501.00,102822.00,92.30,169303.00,97.85,6884.00,106.58,11666.00,80.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290675.00,95.41,,26-Jan-19,23-Jan-19,4,82656.00,269897.00,13562.00,17996.00,0.00,0.00,0.00,0.00,0.00,0.00,384111.00,58599.00,105.08,143345.00,109.38,13293.00,117.71,17996.00,101.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233233.00,108.18,,,
1-Feb-20,29-Jan-20,5,122759.00,234765.00,7594.00,28297.00,0.00,0.00,0.00,0.00,0.00,0.00,393415.00,62473.00,86.32,145151.00,96.66,3254.00,100.61,17538.00,80.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228416.00,92.68,,2-Feb-19,30-Jan-19,5,79863.00,264865.00,13873.00,9765.00,0.00,0.00,0.00,0.00,0.00,0.00,368366.00,38495.00,99.79,146810.00,109.88,10034.00,117.86,9367.00,106.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204706.00,108.22,,,
8-Feb-20,5-Feb-20,6,142028.00,242316.00,9325.00,25199.00,0.00,0.00,0.00,0.00,0.00,0.00,418868.00,92787.00,87.07,149211.00,95.22,1128.00,107.85,7105.00,75.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250231.00,91.69,,9-Feb-19,6-Feb-19,6,91108.00,241554.00,13815.00,10553.00,0.00,0.00,0.00,0.00,0.00,0.00,357030.00,54338.00,96.16,148455.00,106.55,8700.00,125.07,8461.00,100.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219954.00,104.47,,,
