,Guwahati Auctions During 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guwahati Auctions During 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2019,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2019,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2020,Avg Price 2020,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-20,1-Jan-20,1,4554982.90,1550642.40,113761.50,5898.00,0.00,0.00,0.00,0.00,1113.70,0.00,6226398.50,3269944.70,127.93,1189906.80,143.07,69709.40,157.92,797.80,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1016.20,291.86,0.00,0.00,4531374.90,132.40,,5-Jan-19,2-Jan-19,1,3973489.90,1860582.00,16778.30,1603.80,0.00,0.00,0.00,0.00,884.60,0.00,5853338.60,2915062.10,130.37,1183788.30,131.77,14052.40,192.35,1603.80,65.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,366.00,404.22,0.00,0.00,4114872.60,130.98
11-Jan-20,8-Jan-20,2,4394941.90,1654027.90,131969.80,18028.80,0.00,0.00,0.00,0.00,1548.00,97.80,6200614.20,2899119.30,124.20,1174045.30,137.88,58637.30,136.26,2935.30,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,978.20,296.09,0.00,0.00,4135715.40,128.25,,12-Jan-19,9-Jan-19,2,4230594.70,2128804.30,13276.50,777.00,0.00,0.00,0.00,0.00,2833.10,0.00,6376285.60,3101729.90,127.58,1409931.20,127.57,11245.80,188.64,272.80,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1380.90,166.97,0.00,0.00,4524560.60,127.74
18-Jan-20,13-Jan-20,3,4548353.80,1751133.70,268579.20,33242.50,0.00,0.00,0.00,0.00,1828.90,0.00,6603138.10,3006615.60,116.85,1064517.20,124.24,165671.60,122.73,2618.00,70.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1638.10,264.85,0.00,0.00,4241060.50,118.96,,19-Jan-19,16-Jan-19,3,3048419.46,1670230.50,10286.50,3594.80,0.00,0.00,0.00,0.00,2125.60,0.00,4734656.86,2333414.36,124.31,1079334.20,121.18,6874.40,202.42,535.20,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1822.70,282.08,0.00,0.00,3421980.86,123.55
25-Jan-20,21-Jan-20,4,4348472.50,1561503.70,208419.90,45166.40,0.00,0.00,0.00,0.00,1464.00,0.00,6165026.50,2903999.60,111.50,894789.30,114.91,123268.30,114.46,17460.10,62.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1330.10,261.56,0.00,0.00,3940847.40,112.20,,26-Jan-19,22-Jan-19,4,1864793.90,1096237.20,7946.90,2203.00,0.00,0.00,0.00,0.00,1584.00,0.00,2972765.00,1440572.40,124.96,707772.30,122.40,7344.80,142.87,2113.20,60.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1584.00,288.49,0.00,0.00,2159386.70,124.24
1-Feb-20,28-Jan-20,5,4531358.90,1639958.20,215819.00,80348.90,0.00,0.00,0.00,0.00,1645.70,0.00,6469130.70,2885321.70,106.64,1075040.10,106.39,131679.50,118.09,28784.70,62.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1343.20,225.34,0.00,0.00,4122169.20,106.67,,2-Feb-19,29-Jan-19,5,1627640.70,1019244.70,3951.60,3638.40,0.00,0.00,0.00,0.00,1371.20,0.00,2655846.60,1293844.20,123.93,643840.00,119.05,3555.40,251.07,3638.40,72.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,340.00,495.01,0.00,0.00,1945218.00,122.52
8-Feb-20,4-Feb-20,6,4248630.70,1706089.70,174587.70,65211.30,0.00,0.00,0.00,0.00,2338.40,0.00,6196857.80,2574398.30,99.49,1116618.90,99.27,116630.50,116.81,10751.80,60.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2235.60,235.17,0.00,0.00,3820635.10,99.92,,9-Feb-19,5-Feb-19,6,987612.70,672432.90,7779.10,635.80,0.00,0.00,0.00,0.00,1809.50,0.00,1670270.00,819203.50,121.62,488144.40,118.24,7163.70,159.69,172.60,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1511.50,304.53,0.00,0.00,1316195.70,120.78
