,Siliguri Auctions During 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siliguri Auctions During 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2020,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2020,Avg Price 2020,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2019,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-20,2-Jan-20,1,4465671.60,477986.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4943658.30,3475369.60,134.21,388553.70,128.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3863923.30,133.67,,5-Jan-19,2-Jan-19,1,3940786.50,376891.10,0.00,0.00,0.00,0.00,0.00,0.00,798.00,0.00,4318475.60,3296372.50,137.00,292431.60,133.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3588804.10,136.74
11-Jan-20,8-Jan-20,2,4475289.00,507904.40,0.00,0.00,0.00,0.00,0.00,0.00,497.00,0.00,4983690.40,3249529.40,125.44,409074.40,124.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497.00,50.00,0.00,0.00,3659100.80,125.31,,12-Jan-19,9-Jan-19,2,3893277.80,386700.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4279978.70,3283719.00,136.01,305848.30,129.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3589567.30,135.46
18-Jan-20,15-Jan-20,3,4250973.00,538739.60,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4789928.60,3094748.40,120.24,438221.00,122.44,216.00,180.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3533185.40,120.51,,19-Jan-19,16-Jan-19,3,3995132.60,446946.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4442079.50,3250418.20,132.14,372552.60,124.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3622970.80,131.35
25-Jan-20,22-Jan-20,4,4460400.00,488252.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4948652.80,3259231.80,114.79,379429.50,116.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3638661.30,114.95,,26-Jan-19,24-Jan-19,4,3904809.80,393827.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4298637.40,3100062.60,127.59,313422.30,121.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3413484.90,127.08
1-Feb-20,29-Jan-20,5,4053231.00,388857.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4442088.90,2764039.60,104.80,300333.40,112.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3064373.00,105.55,,2-Feb-19,30-Jan-19,5,3656058.20,423797.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4079856.00,2622974.60,119.73,304482.20,117.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2927456.80,119.45
8-Feb-20,5-Feb-20,6,3279247.20,437795.70,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3717258.90,2479314.40,99.44,321550.60,105.38,216.00,172.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2801081.00,100.12,,9-Feb-19,6-Feb-19,6,3319910.80,356292.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3676203.60,2575036.00,115.93,285115.90,114.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2860151.90,115.83
