Week ending,Date of Sale,SR. No.,Offer,,,,,Sold,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Total Offer Kgs 2019,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019
,,,,,,,,,,,,,,,,,
6-Jan-18,4-Jan-18,1,777663.00,424662.00,72899.30,64132.00,1339502.30,717424.00,87.25,340363.00,89.95,62286.20,100.54,48634.00,87.86,1168707.20,88.77
13-Jan-18,11-Jan-18,2,803082.00,427751.00,83953.10,53966.00,1368752.10,661993.00,86.70,349191.00,88.68,82349.00,100.19,32266.00,94.04,1125799.00,88.51
20-Jan-18,18-Jan-18,3,826295.00,448610.00,76810.90,69988.00,1421703.90,740276.00,86.90,375084.00,87.85,68219.10,98.90,35778.00,82.54,1219357.10,87.74
27-Jan-18,25-Jan-18,4,692396.00,336998.00,46027.80,56208.00,1131629.80,636515.00,88.15,290503.00,95.32,35899.40,105.38,40869.00,77.23,1003786.40,90.40
3-Feb-18,1-Feb-18,5,577208.00,308533.00,54293.50,56885.00,996919.50,514519.00,91.48,234755.00,97.15,40177.70,107.91,39388.00,81.40,828839.70,93.40
10-Feb-18,8-Feb-18,6,627995.00,298390.00,53781.70,43959.00,1024125.70,540036.00,93.48,256308.00,99.27,44602.90,106.00,28694.00,81.38,869640.90,95.43
17-Feb-18,15-Feb-18,7,564320.00,312782.00,56001.20,50632.00,983735.20,396428.00,93.60,255282.00,100.27,50407.40,111.37,22441.00,94.33,724558.40,97.21
24-Feb-18,22-Feb-18,8,625537.00,304712.00,53261.40,39855.00,1023365.40,500760.00,92.45,273560.00,100.95,35014.40,105.91,26298.00,95.05,835632.40,95.88
3-Mar-18,1-Mar-18,9,638143.00,295597.00,52313.20,39711.00,1025764.20,475934.00,89.97,273593.00,100.08,47589.40,110.83,32912.00,86.98,830028.40,94.38
10-Mar-18,8-Mar-18,10,609050.00,267777.00,60819.80,33058.00,970704.80,422629.00,89.52,257502.00,101.50,51996.80,111.23,28482.00,91.60,760609.80,95.14
17-Mar-18,15-Mar-18,11,580236.00,262911.00,48549.80,30351.00,922047.80,538400.00,89.86,244755.00,100.12,45392.40,113.97,26504.00,89.75,855051.40,94.07
24-Mar-18,22-Mar-18,12,566826.00,250268.00,53754.60,33125.00,903973.60,510718.00,90.30,241964.00,103.98,47955.30,110.34,29520.00,91.68,830157.30,95.49
31-Mar-18,29-Mar-18,13,583286.00,282964.00,53297.70,34183.00,953730.70,465830.00,91.63,260849.00,102.84,47925.90,112.71,30962.00,93.44,805566.90,96.58
7-Apr-18,5-Apr-18,14,541967.00,270735.00,49296.10,34166.00,896164.10,470074.00,89.54,249848.00,102.70,46268.60,115.18,32314.00,95.18,798504.60,95.38
14-Apr-18,12-Apr-18,15,564059.00,306843.00,50130.00,30172.00,951204.00,517214.00,89.06,282630.00,103.27,44143.50,118.98,29204.00,95.45,873191.50,95.39
21-Apr-18,19-Apr-18,16,649594.00,385653.00,57389.70,27793.00,1120429.70,543906.00,90.20,301190.00,100.63,54998.70,121.88,26055.00,93.19,926149.70,95.55
28-Apr-18,26-Apr-18,17,772809.00,470399.00,73872.90,34371.00,1351451.90,616632.00,86.11,356685.00,96.01,68374.40,119.86,33159.00,99.93,1074850.40,91.97
5-May-18,3-May-18,18,908028.00,552137.00,76615.40,42137.00,1578917.40,516327.00,81.01,341696.00,89.38,68801.90,118.85,35501.00,99.86,962325.90,87.38
12-May-18,10-May-18,19,874607.00,503446.00,72126.00,48794.00,1498973.00,647584.00,78.51,445081.00,85.12,68235.80,114.46,40631.00,93.53,1201531.80,83.51
19-May-18,17-May-18,20,1098678.00,701955.00,84933.00,51121.00,1936687.00,954154.00,75.88,517340.00,82.05,75514.70,111.94,41996.00,92.80,1589004.70,80.05
