Week ending,Date of Sale,SR. No.,Offer,,,,,Sold,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2019,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019
,,,,,,,,,,,,,,,,,
5-Jan-19,2-Jan-19,1,115185.00,289514.00,14035.00,15472.00,434206.00,90849.00,99.06,225627.00,109.48,10294.00,110.54,12435.00,92.52,339205.00,106.10
12-Jan-19,9-Jan-19,2,115848.00,282135.00,10706.00,16697.00,425386.00,84077.00,102.80,210088.00,109.48,9906.00,101.43,13510.00,93.60,317581.00,106.78
19-Jan-19,16-Jan-19,3,103219.00,290458.00,15224.00,14586.00,423487.00,64341.00,102.77,189444.00,108.98,10524.00,111.99,14586.00,98.00,278895.00,107.08
26-Jan-19,23-Jan-19,4,82656.00,269897.00,13562.00,17996.00,384111.00,58599.00,105.08,143345.00,109.38,13293.00,117.71,17996.00,101.74,233233.00,108.18
2-Feb-19,30-Jan-19,5,79863.00,264865.00,13873.00,9765.00,368366.00,38495.00,99.79,146810.00,109.88,10034.00,117.86,9367.00,106.49,204706.00,108.22
9-Feb-19,6-Feb-19,6,91108.00,241554.00,13815.00,10553.00,357030.00,54338.00,96.16,148455.00,106.55,8700.00,125.07,8461.00,100.30,219954.00,104.47
16-Feb-19,13-Feb-19,7,70422.00,224084.00,15304.00,9196.00,319006.00,40898.00,97.08,153802.00,105.05,10682.00,110.92,6087.00,98.92,211469.00,103.63
23-Feb-19,20-Feb-19,8,65668.00,206642.00,13990.00,11216.00,297516.00,45794.00,97.16,139791.00,105.75,12018.00,125.47,9265.00,101.16,206868.00,104.79
2-Mar-19,27-Feb-19,9,64641.00,207754.00,10022.00,10339.00,292756.00,49239.00,97.66,132138.00,106.24,7503.00,113.58,7071.00,101.32,195951.00,104.19
9-Mar-19,6-Mar-19,10,57260.00,224853.00,9218.00,9481.00,300812.00,44171.00,100.83,173910.00,108.23,8368.00,120.00,7719.00,100.44,234168.00,107.00
16-Mar-19,13-Mar-19,11,81778.00,240157.00,15127.00,16594.00,353656.00,58197.00,100.30,192814.00,110.19,11774.00,122.26,11534.00,99.56,274319.00,108.17
23-Mar-19,20-Mar-19,12,71025.00,225011.00,10325.00,10896.00,317257.00,31314.00,101.33,154082.00,108.67,7290.00,137.51,10628.00,96.28,203314.00,107.92
30-Mar-19,27-Mar-19,13,93153.00,263721.00,9492.00,7091.00,373457.00,49808.00,101.29,194809.00,112.65,9084.00,102.02,5794.00,96.86,259495.00,109.75
6-Apr-19,3-Apr-19,14,50474.00,169915.00,9443.00,4734.00,234566.00,34654.00,102.47,137314.00,110.52,9176.00,101.85,4212.00,92.22,185356.00,108.17
13-Apr-19,10-Apr-19,15,73250.00,185895.00,9166.00,3754.00,272065.00,51063.00,104.35,135550.00,111.57,6068.00,117.91,2957.00,96.99,195638.00,109.66
20-Apr-19,17-Apr-19,16,52619.00,172081.00,12889.00,9198.00,246787.00,27337.00,99.94,145373.00,114.03,4351.00,116.91,7841.00,98.42,184902.00,111.36
27-Apr-19,24-Apr-19,17,65947.00,200852.00,13549.00,7317.00,287665.00,56229.00,101.42,145386.00,111.63,5107.00,104.07,6443.00,92.78,213165.00,108.18
4-May-19,2-May-19,18,69773.00,187094.00,14092.00,7960.00,278919.00,47978.00,100.63,137227.00,114.66,5848.00,109.55,7489.00,95.87,198542.00,110.41
11-May-19,8-May-19,19,61744.00,182037.00,10764.00,9299.00,263844.00,49146.00,102.76,144230.00,112.65,6938.00,105.95,8761.00,92.10,209075.00,109.24
18-May-19,15-May-19,20,62140.00,187168.00,15137.00,12217.00,276662.00,53469.00,105.48,143498.00,114.36,12331.00,106.29,7914.00,96.75,217212.00,111.08
25-May-19,22-May-19,21,61245.00,196187.00,12788.00,10277.00,280497.00,50661.00,104.03,140262.00,111.71,8549.00,102.26,5482.00,92.54,204954.00,108.91
1-Jun-19,29-May-19,22,79919.00,235859.00,6388.00,7312.00,329478.00,61308.00,104.56,151436.00,112.50,3148.00,120.12,6603.00,92.90,222495.00,109.84
8-Jun-19,6-Jun-19,23,114695.00,291642.00,7418.00,11133.00,424888.00,76295.00,100.78,171457.00,107.64,3917.00,128.35,9081.00,95.08,260750.00,105.51
15-Jun-19,12-Jun-19,24,109722.00,259376.00,10391.00,8886.00,388375.00,83194.00,100.29,180127.00,103.62,6648.00,108.13,8085.00,93.55,278054.00,102.44
22-Jun-19,19-Jun-19,25,97559.00,236610.00,6145.00,8805.00,349119.00,74091.00,96.39,156290.00,100.38,5287.00,109.67,4883.00,88.44,240551.00,99.11
29-Jun-19,26-Jun-19,26,131166.00,266123.00,7534.00,8873.00,413696.00,93961.00,96.31,194875.00,97.32,5582.00,109.08,7095.00,90.59,301513.00,97.06
6-Jul-19,3-Jul-19,27,138825.00,293440.00,6062.00,6699.00,445026.00,69256.00,94.07,200122.00,99.42,4469.00,105.73,4369.00,87.14,278216.00,97.99
13-Jul-19,10-Jul-19,28,143022.00,327918.00,8684.00,10584.00,490208.00,69720.00,85.87,148518.00,92.22,6762.00,107.45,4643.00,89.81,229643.00,90.69
20-Jul-19,17-Jul-19,29,138190.00,352439.00,8504.00,9005.00,508138.00,93449.00,90.46,261111.00,89.50,5672.00,98.66,6242.00,92.42,366474.00,89.94
