Week ending,Date of Sale,SR. No.,Offer,,,,,Sold,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2019,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019
,,,,,,,,,,,,,,,,,
5-Jan-19,2-Jan-19,1,56388.00,1099087.40,167885.00,7615.00,1330975.40,38879.00,97.88,932560.30,123.60,133428.00,158.33,5289.00,95.34,1110156.30,126.74
12-Jan-19,8-Jan-19,2,61210.00,1099504.50,184576.00,10262.00,1355552.50,46327.00,98.00,949550.40,124.09,155015.00,158.43,9471.00,95.21,1160363.40,127.40
19-Jan-19,15-Jan-19,3,73943.00,1338913.20,267658.00,6276.00,1686790.20,57224.00,95.52,1184318.00,125.17,185176.00,157.74,2474.00,101.45,1429192.00,128.16
26-Jan-19,22-Jan-19,4,61410.00,1053239.60,210786.00,7995.00,1333430.60,54511.00,95.64,942805.50,127.10,169597.00,158.33,7603.00,100.68,1174516.50,129.98
2-Feb-19,29-Jan-19,5,59684.00,914397.50,149145.00,5934.00,1129160.50,51550.00,96.70,838298.30,128.51,121008.00,163.15,4254.00,106.75,1015110.30,130.93
9-Feb-19,5-Feb-19,6,61830.00,882676.90,150285.50,11351.00,1106143.40,42576.00,96.59,725863.20,126.55,116511.75,158.86,10063.00,97.25,895013.95,129.00
16-Feb-19,12-Feb-19,7,64533.00,886475.60,153141.00,7779.00,1111928.60,44901.00,92.99,696897.10,126.10,121476.00,165.62,6961.00,102.41,870235.10,129.72
23-Feb-19,19-Feb-19,8,70766.00,952565.00,169832.70,14016.00,1207179.70,50588.00,92.03,715784.00,125.02,135805.00,151.32,12582.00,98.46,914759.00,126.74
2-Mar-19,26-Feb-19,9,62543.00,890622.40,122509.15,7847.00,1083521.55,54328.00,93.28,792781.00,124.67,105647.00,157.43,7109.00,95.80,959865.00,126.29
9-Mar-19,5-Mar-19,10,53522.00,832780.80,148004.00,9541.00,1043847.80,44469.00,97.20,721591.70,123.67,119058.00,162.14,8253.00,92.45,893371.70,127.19
16-Mar-19,12-Mar-19,11,49003.00,845454.50,143216.90,5705.00,1043379.40,45363.00,97.78,712354.30,123.76,102141.90,168.85,2938.00,98.42,862797.20,127.64
23-Mar-19,19-Mar-19,12,48463.00,836439.05,102928.25,2918.00,990748.30,42920.00,97.58,682717.05,124.14,92468.25,173.05,2918.00,102.30,821023.30,128.18
30-Mar-19,26-Mar-19,13,45647.00,964607.40,83763.00,12002.00,1129732.40,39887.00,96.45,828238.40,123.25,68905.00,168.32,10718.00,99.61,949698.40,125.13
6-Apr-19,2-Apr-19,14,32131.00,728320.20,96153.00,1288.00,857892.20,19729.00,97.92,657310.40,123.01,73404.00,176.45,1288.00,101.23,751731.40,127.54
13-Apr-19,9-Apr-19,15,46826.00,779153.00,123732.30,8764.00,958475.30,41758.00,99.37,723724.30,125.18,90395.30,169.70,6980.00,99.13,862857.60,128.38
20-Apr-19,,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27-Apr-19,22-Apr-19,17,38416.00,889121.70,173269.00,12737.00,1113543.70,24520.00,95.32,780405.15,125.11,112742.00,165.74,5088.00,97.79,922755.15,129.13
4-May-19,30-Apr-19,18,41708.00,782582.00,138824.00,8507.00,971621.00,22066.00,96.42,714314.00,125.56,111432.00,164.88,6904.00,100.96,854716.00,129.73
11-May-19,7-May-19,19,30793.00,932192.10,174908.00,12606.00,1150499.10,26593.00,97.53,847070.30,124.00,118430.00,163.91,9085.00,101.94,1001178.30,127.82
18-May-19,14-May-19,20,42315.00,788717.50,123375.00,7420.00,961827.50,37608.00,97.29,690549.50,124.53,92202.00,164.30,4460.00,100.89,824819.50,127.60
25-May-19,21-May-19,21,34488.00,759995.10,123116.00,11398.00,928997.10,25859.00,97.47,638364.10,123.95,90315.00,164.61,3674.00,97.99,758212.10,127.76
1-Jun-19,28-May-19,22,27697.00,900659.00,140970.00,10602.00,1079928.00,18698.00,96.37,753688.00,123.62,107798.00,167.13,3870.00,94.98,884054.00,128.23
8-Jun-19,4-Jun-19,23,36630.00,981409.40,183859.00,13518.00,1215416.40,29072.00,94.08,761263.80,121.25,133558.00,166.75,3602.00,91.09,927495.80,126.83
15-Jun-19,11-Jun-19,24,36211.00,1020517.80,190890.00,15126.00,1262744.80,22800.00,91.18,821332.10,117.23,121624.00,169.62,3045.00,95.08,968801.10,123.12
22-Jun-19,18-Jun-19,25,41942.00,1215762.20,254515.00,16876.00,1529095.20,31263.00,88.77,944765.00,114.84,152099.00,163.63,6017.00,94.35,1134144.00,120.55
29-Jun-19,25-Jun-19,26,33991.00,1110380.30,273747.00,19214.00,1437332.30,20968.00,87.49,875227.10,113.43,116749.00,152.39,5666.00,92.95,1018610.10,117.25
6-Jul-19,2-Jul-19,27,42612.00,1145040.00,223269.00,9500.00,1420421.00,25389.00,86.40,817516.00,112.10,120745.00,153.17,3459.00,90.01,967109.00,116.48
13-Jul-19,9-Jul-19,28,37106.00,1123904.30,246008.00,9603.00,1416621.30,26203.00,85.25,810614.50,109.97,101598.00,149.92,6931.00,93.59,945346.50,113.45
20-Jul-19,16-Jul-19,29,41259.00,1115664.90,228645.00,13002.00,1398570.90,32607.00,82.20,866230.20,108.63,130445.00,146.43,9392.00,93.88,1038674.20,112.41
