week_ending,year,serial_no,ctc_dust_offer_qty,ctc_dust_sold_qty,ctc_dust_avg_price
14-Jan-12,2012,2,1142078.3,957029.3,84.87
21-Jan-12,2012,3,1105568.0,923409.3,83.96
28-Jan-12,2012,4,1062252.1,950660.0,83.99
4-Feb-12,2012,5,1039329.4,937530.6,83.13
11-Feb-12,2012,6,1024848.3,983017.7,84.98
18-Feb-12,2012,7,1008905.3,931543.7,86.98
25-Feb-12,2012,8,1024313.5,938915.5,85.55
3-Mar-12,2012,9,958623.7,876013.5,87.54
10-Mar-12,2012,10,995743.8,929451.3,90.36
17-Mar-12,2012,11,871604.6,800386.9,91.55
24-Mar-12,2012,12,815744.8,735681.6,95.92
31-Mar-12,2012,13,805590.2,748086.9,100.28
7-Apr-12,2012,14,830979.87,761385.13,95.92
14-Apr-12,2012,15,912683.5,855035.5,101.33
21-Apr-12,2012,16,988047.8,912177.0,104.97
28-Apr-12,2012,17,1016346.7,948293.7,106.53
5-May-12,2012,18,911584.1,715201.1,101.15
12-May-12,2012,19,938376.7,781857.8,98.77
19-May-12,2012,20,1053809.4,972684.5,102.53
26-May-12,2012,21,965872.1,842127.5,100.13
2-Jun-12,2012,22,1192138.1,1041732.5,98.49
9-Jun-12,2012,23,1366016.9,1253585.2,97.55
16-Jun-12,2012,24,1341512.5,1243083.8,96.45
23-Jun-12,2012,25,1390108.5,1180910.0,91.56
30-Jun-12,2012,26,1367688.7,1240510.8,89.05
7-Jul-12,2012,27,1408275.2,1275577.2,90.5
14-Jul-12,2012,28,1246251.1,1173832.1,94.07
21-Jul-12,2012,29,1180274.5,1114390.5,94.9
28-Jul-12,2012,30,1151320.0,1073442.3,96.57
4-Aug-12,2012,31,1167244.3,1071233.3,97.69
11-Aug-12,2012,32,1224624.4,1079994.0,96.14
18-Aug-12,2012,33,1279283.0,1139742.3,95.39
25-Aug-12,2012,34,1230118.1,1033102.4,94.09
1-Sep-12,2012,35,1244675.17,1084279.57,95.21
8-Sep-12,2012,36,1249456.9,1152037.5,96.36
15-Sep-12,2012,37,985962.9,850824.4,99.26
22-Sep-12,2012,38,1211667.0,1088450.0,99.78
29-Sep-12,2012,39,1017542.0,915806.4,99.7
6-Oct-12,2012,40,813150.2,718042.2,98.96
13-Oct-12,2012,41,771994.5,702468.6,97.85
20-Oct-12,2012,42,887763.6,819170.8,97.45
27-Oct-12,2012,43,894670.3,767358.3,96.76
3-Nov-12,2012,44,1137269.8,1048171.8,96.6
10-Nov-12,2012,45,1142078.4,1002832.4,96.27
17-Nov-12,2012,46,1229692.8,1158229.8,97.85
24-Nov-12,2012,47,1264295.5,1162341.5,98.24
1-Dec-12,2012,48,1104727.4,1000967.4,100.15
8-Dec-12,2012,49,1024486.1,979004.2,101.59
15-Dec-12,2012,50,1115779.2,1051785.5,103.89
22-Dec-12,2012,51,1204246.4,1069660.2,104.5
29-Dec-12,2012,52,1114837.23,1033483.3,103.33
12-Jan-13,2013,2,1185234.1,1048859.4,104.62
19-Jan-13,2013,3,1318828.2,1124314.2,102.13
26-Jan-13,2013,4,1207025.3,1060973.4,102.1
2-Feb-13,2013,5,1172036.9,1103138.9,103.47
9-Feb-13,2013,6,1069590.9,1016729.1,104.92
16-Feb-13,2013,7,939174.6,843991.2,105.99
23-Feb-13,2013,8,943232.2,876806.3,108.35
2-Mar-13,2013,9,954186.2,865178.2,110.69
9-Mar-13,2013,10,845613.2,799211.4,117.96
16-Mar-13,2013,11,842986.7,790884.8,125.55
23-Mar-13,2013,12,866745.0,796697.0,136.69
30-Mar-13,2013,13,851781.63,795597.73,126.73
6-Apr-13,2013,14,745207.0,556713.6,133.74
13-Apr-13,2013,15,777659.2,658491.2,131.03
20-Apr-13,2013,16,1137511.4,980792.8,128.71
27-Apr-13,2013,17,1143819.2,979257.2,126.21
4-May-13,2013,18,1227108.7,1010643.1,119.04
11-May-13,2013,19,1254147.2,1018674.2,110.19
18-May-13,2013,20,1236593.5,1111707.8,108.58
25-May-13,2013,21,1145442.5,1077895.5,112.02
1-Jun-13,2013,22,1176751.7,1020953.7,114.94
8-Jun-13,2013,23,1196428.6,1025553.2,112.46
15-Jun-13,2013,24,1259197.1,1049757.5,110.6
22-Jun-13,2013,25,1350748.7,1129789.7,110.17
29-Jun-13,2013,26,1399013.3,1234539.1,110.71
6-Jul-13,2013,27,1297774.6,1085733.6,109.89
13-Jul-13,2013,28,1157631.8,934607.3,110.84
20-Jul-13,2013,29,1078468.6,957611.0,115.05
27-Jul-13,2013,30,909636.1,758862.4,117.79
3-Aug-13,2013,31,871652.7,709829.9,118.67
10-Aug-13,2013,32,806955.2,657092.5,126.21
17-Aug-13,2013,33,811984.4,646477.6,125.69
24-Aug-13,2013,34,764027.6,596722.7,123.39
31-Aug-13,2013,35,677154.8,599607.8,127.61
7-Sep-13,2013,36,616899.1,529903.1,130.79
14-Sep-13,2013,37,863395.4,738722.4,131.38
21-Sep-13,2013,38,719149.77,622744.43,129.93
28-Sep-13,2013,39,1086118.9,936801.2,132.93
5-Oct-13,2013,40,1057871.3,855001.8,124.84
12-Oct-13,2013,41,1441666.5,1098766.8,119.7
19-Oct-13,2013,42,1346882.2,1017674.5,112.16
26-Oct-13,2013,43,1173851.4,940251.5,109.84
2-Nov-13,2013,44,1141521.1,953899.7,111.05
9-Nov-13,2013,45,1179501.2,921460.4,109.28
16-Nov-13,2013,46,1276416.0,1010242.2,105.34
23-Nov-13,2013,47,1150955.2,832770.2,105.12
30-Nov-13,2013,48,1307086.2,941898.1,101.61
7-Dec-13,2013,49,1355763.8,940499.1,96.42
14-Dec-13,2013,50,1439280.0,1242640.4,97.17
21-Dec-13,2013,51,1433860.5,1234082.8,99.42
28-Dec-13,2013,52,1422605.6,1188021.3,101.9
18-Jan-14,2014,2,1226738.0,1004309.0,113.52
25-Jan-14,2014,3,1208769.2,836221.2,108.2
1-Feb-14,2014,4,1099190.45,872281.0,110.0
8-Feb-14,2014,5,983006.7,831941.3,110.76
15-Feb-14,2014,6,993442.0,873952.2,113.31
22-Feb-14,2014,7,1080413.1,919183.7,112.37
1-Mar-14,2014,8,1082451.85,871375.2,109.52
8-Mar-14,2014,9,938639.2,749153.5,109.16
15-Mar-14,2014,10,1020455.3,893191.55,107.98
22-Mar-14,2014,11,975291.9,843414.4,108.44
29-Mar-14,2014,12,1005481.6,865522.35,110.24
5-Apr-14,2014,13,984463.4,826682.35,110.74
12-Apr-14,2014,14,1026933.9,879199.65,110.27
19-Apr-14,2014,15,1005626.3,857134.78,110.42
26-Apr-14,2014,16,1082738.1,948423.2,109.51
3-May-14,2014,17,1009887.2,907899.3,113.46
10-May-14,2014,18,1121488.1,880941.9,109.98
17-May-14,2014,19,1108145.6,857258.6,108.92
24-May-14,2014,20,1132628.6,923450.1,104.04
31-May-14,2014,21,1377291.2,1082308.8,99.9
7-Jun-14,2014,22,1491121.5,1117517.3,95.32
14-Jun-14,2014,23,1465554.6,1222183.1,92.66
21-Jun-14,2014,24,1383167.2,1223409.2,93.5
28-Jun-14,2014,25,1449303.8,1248782.8,95.13
5-Jul-14,2014,26,1483122.8,1195349.9,95.64
