week_ending,year,serial_no,ctc_leaf_offer_qty,ctc_leaf_sold_qty,ctc_leaf_avg_price
14-Jan-12,2012,2,83325.0,77015.0,68.03
21-Jan-12,2012,3,71897.0,68187.0,70.11
28-Jan-12,2012,4,91279.0,78695.0,70.73
4-Feb-12,2012,5,83746.0,71188.0,70.63
11-Feb-12,2012,6,89650.0,85480.0,69.23
18-Feb-12,2012,7,88993.0,79151.0,66.77
25-Feb-12,2012,8,80762.0,71372.0,69.92
3-Mar-12,2012,9,72895.0,64571.0,70.76
10-Mar-12,2012,10,70344.0,49968.0,70.26
17-Mar-12,2012,11,77446.0,58708.0,72.88
24-Mar-12,2012,12,60853.0,47745.0,74.0
31-Mar-12,2012,13,64113.0,41492.0,77.05
7-Apr-12,2012,14,67470.67,49315.0,74.64
14-Apr-12,2012,15,92769.0,79700.0,73.75
21-Apr-12,2012,16,82147.0,64259.0,75.82
28-Apr-12,2012,17,81920.0,63595.0,78.51
5-May-12,2012,18,65107.0,41730.0,77.45
12-May-12,2012,19,71429.0,48431.0,78.19
19-May-12,2012,20,79191.0,70293.0,80.75
26-May-12,2012,21,47953.0,43781.0,86.31
2-Jun-12,2012,22,78165.0,76356.0,89.34
9-Jun-12,2012,23,78420.0,76853.0,91.82
16-Jun-12,2012,24,76774.0,66455.0,86.43
23-Jun-12,2012,25,70254.0,51112.0,84.25
30-Jun-12,2012,26,69193.0,47829.0,81.8
7-Jul-12,2012,27,75315.0,60507.0,84.31
14-Jul-12,2012,28,80519.0,72894.0,86.07
21-Jul-12,2012,29,76151.0,56305.0,84.11
28-Jul-12,2012,30,96890.0,83903.0,87.24
4-Aug-12,2012,31,96411.0,87511.0,90.57
11-Aug-12,2012,32,90930.0,81700.0,94.32
18-Aug-12,2012,33,114679.0,99300.0,94.05
25-Aug-12,2012,34,92770.0,83672.0,92.42
1-Sep-12,2012,35,99459.67,88224.0,93.6
8-Sep-12,2012,36,104893.0,92041.0,94.6
15-Sep-12,2012,37,90249.0,66914.0,95.14
22-Sep-12,2012,38,142576.0,106444.0,94.25
29-Sep-12,2012,39,92885.0,47262.0,94.25
6-Oct-12,2012,40,99211.0,72225.0,91.82
13-Oct-12,2012,41,93614.0,59349.0,89.99
20-Oct-12,2012,42,133863.0,83679.0,87.36
27-Oct-12,2012,43,123963.0,74579.0,87.39
3-Nov-12,2012,44,144067.0,85856.0,84.71
10-Nov-12,2012,45,108057.0,88725.0,87.01
17-Nov-12,2012,46,119045.0,115462.0,87.71
24-Nov-12,2012,47,101475.0,97429.0,90.71
1-Dec-12,2012,48,74984.0,70780.0,94.15
8-Dec-12,2012,49,77397.0,72661.0,95.16
15-Dec-12,2012,50,70849.0,59470.0,94.18
22-Dec-12,2012,51,96689.0,88874.0,96.58
29-Dec-12,2012,52,81645.0,73668.33,95.31
12-Jan-13,2013,2,116577.0,91869.0,100.2
19-Jan-13,2013,3,140574.0,91073.0,97.18
26-Jan-13,2013,4,98616.0,82595.0,94.93
2-Feb-13,2013,5,98235.0,94151.0,97.7
9-Feb-13,2013,6,69977.0,62572.0,101.44
16-Feb-13,2013,7,55406.0,47844.0,103.49
23-Feb-13,2013,8,86900.0,70724.0,104.5
2-Mar-13,2013,9,87248.0,75624.0,102.85
9-Mar-13,2013,10,92088.0,81114.0,108.12
16-Mar-13,2013,11,75154.0,67779.0,111.41
23-Mar-13,2013,12,91158.0,67082.0,112.77
30-Mar-13,2013,13,86133.33,71991.67,110.77
6-Apr-13,2013,14,77724.0,48710.0,111.54
13-Apr-13,2013,15,85683.0,36466.0,110.28
20-Apr-13,2013,16,107624.0,76609.0,100.44
27-Apr-13,2013,17,93959.0,75393.0,99.33
4-May-13,2013,18,99597.0,73667.0,97.47
11-May-13,2013,19,100239.0,84785.0,92.5
18-May-13,2013,20,100918.0,69540.0,92.67
25-May-13,2013,21,106946.0,77893.0,91.92
1-Jun-13,2013,22,72324.0,51372.0,96.45
8-Jun-13,2013,23,83412.0,62556.0,92.9
15-Jun-13,2013,24,83872.0,70221.0,91.53
22-Jun-13,2013,25,67387.0,64095.0,92.7
29-Jun-13,2013,26,78236.0,76164.0,94.67
6-Jul-13,2013,27,65326.0,51167.0,93.88
13-Jul-13,2013,28,71272.0,60473.0,93.24
20-Jul-13,2013,29,76852.0,61700.0,95.83
27-Jul-13,2013,30,63405.0,44853.0,95.06
3-Aug-13,2013,31,75356.0,42838.0,95.14
10-Aug-13,2013,32,77631.0,56127.0,95.69
17-Aug-13,2013,33,84067.0,48672.0,94.92
24-Aug-13,2013,34,56753.0,34137.0,94.58
31-Aug-13,2013,35,58463.0,41381.0,93.87
7-Sep-13,2013,36,43611.0,34500.0,91.59
14-Sep-13,2013,37,63569.0,51582.0,92.35
21-Sep-13,2013,38,55214.33,42487.67,92.6
28-Sep-13,2013,39,58965.0,52413.0,95.01
5-Oct-13,2013,40,67777.0,55636.0,92.91
12-Oct-13,2013,41,76019.0,45681.0,91.54
19-Oct-13,2013,42,87283.0,38560.0,86.48
26-Oct-13,2013,43,66981.0,42937.0,85.5
2-Nov-13,2013,44,85370.0,55010.0,85.24
9-Nov-13,2013,45,76972.0,41236.0,79.72
16-Nov-13,2013,46,73408.0,53736.0,80.94
23-Nov-13,2013,47,69478.0,54042.0,79.87
30-Nov-13,2013,48,64994.0,52607.0,81.9
7-Dec-13,2013,49,80597.0,49420.0,75.49
14-Dec-13,2013,50,55131.0,37708.0,78.52
21-Dec-13,2013,51,60876.0,51948.0,78.33
28-Dec-13,2013,52,72799.0,52785.0,78.34
18-Jan-14,2014,2,64291.0,56623.0,88.77
25-Jan-14,2014,3,66508.0,51849.0,88.39
1-Feb-14,2014,4,53128.0,39325.0,89.48
8-Feb-14,2014,5,65540.0,44869.0,89.64
15-Feb-14,2014,6,56729.0,49962.0,90.28
22-Feb-14,2014,7,55952.0,43416.0,92.94
1-Mar-14,2014,8,60134.0,50027.0,89.24
8-Mar-14,2014,9,65474.0,56599.0,89.67
15-Mar-14,2014,10,67408.0,39770.0,86.29
22-Mar-14,2014,11,65284.0,33174.0,84.42
29-Mar-14,2014,12,84660.0,29236.0,79.92
5-Apr-14,2014,13,83506.0,37214.0,80.1
12-Apr-14,2014,14,90957.0,47715.0,79.65
19-Apr-14,2014,15,86374.33,38055.0,79.89
26-Apr-14,2014,16,89129.0,62790.0,79.37
3-May-14,2014,17,69110.0,58307.0,80.03
10-May-14,2014,18,75497.0,56798.0,83.39
17-May-14,2014,19,80240.0,52141.0,80.64
24-May-14,2014,20,50289.0,35543.0,84.33
31-May-14,2014,21,71549.0,45185.0,80.24
7-Jun-14,2014,22,73565.0,51982.0,77.33
14-Jun-14,2014,23,63595.0,43180.0,78.14
21-Jun-14,2014,24,88331.0,46836.0,81.52
28-Jun-14,2014,25,62476.0,42511.0,78.56
5-Jul-14,2014,26,81386.0,60112.0,79.47
12-Jul-14,2014,27,68870.0,50663.0,77.47
19-Jul-14,2014,28,75609.0,60880.0,72.18
26-Jul-14,2014,29,88884.0,65364.0,74.44
2-Aug-14,2014,30,85449.0,43722.0,75.15
9-Aug-14,2014,31,79871.0,64928.0,72.4
16-Aug-14,2014,32,73497.0,50680.0,84.11
23-Aug-14,2014,33,75698.0,60366.0,75.6
30-Aug-14,2014,34,71298.0,56177.0,73.47
6-Sep-14,2014,35,56873.0,42649.0,74.98
13-Sep-14,2014,36,67956.33,53064.0,74.68
20-Sep-14,2014,37,63606.0,56478.0,76.92
27-Sep-14,2014,38,80754.0,60014.0,80.72
4-Oct-14,2014,39,99798.0,71815.0,75.05
11-Oct-14,2014,40,95442.0,64923.0,69.45
18-Oct-14,2014,41,70337.0,44273.0,75.07
25-Oct-14,2014,42,78168.0,53768.0,73.52
1-Nov-14,2014,43,96964.0,43865.0,65.55
8-Nov-14,2014,44,66021.0,43713.0,68.23
15-Nov-14,2014,45,62526.0,25524.0,63.26
22-Nov-14,2014,46,74095.0,49745.0,64.56
29-Nov-14,2014,47,63940.0,47637.0,69.31
6-Dec-14,2014,48,59343.0,38595.0,68.71
13-Dec-14,2014,49,90367.0,61429.5,70.46
20-Dec-14,2014,50,75903.0,49981.0,71.98
27-Dec-14,2014,51,75204.33,50001.83,70.38
3-Jan-15,2014,52,94829.5,50154.0,69.99
17-Jan-15,2015,2,89801.0,63111.0,71.34
24-Jan-15,2015,3,85698.0,58214.0,67.08
31-Jan-15,2015,4,94645.2,67564.5,71.39
7-Feb-15,2015,5,92628.5,88203.5,73.95
14-Feb-15,2015,6,86364.5,73056.0,76.57
21-Feb-15,2015,7,99593.5,76599.0,74.18
28-Feb-15,2015,8,88098.5,65645.0,71.31
7-Mar-15,2015,9,112050.0,84916.0,72.77
14-Mar-15,2015,10,73274.0,50511.0,70.06
21-Mar-15,2015,11,92123.0,65681.0,72.08
28-Mar-15,2015,12,86619.5,47632.0,72.03
4-Apr-15,2015,13,84005.5,54608.0,71.39
11-Apr-15,2015,14,72513.0,50560.0,71.12
18-Apr-15,2015,15,83082.5,65737.0,71.02
25-Apr-15,2015,16,104120.0,68996.0,73.14
2-May-15,2015,17,122280.0,83342.5,69.71
9-May-15,2015,18,87584.0,45492.0,68.3
16-May-15,2015,19,79064.5,49658.0,68.96
23-May-15,2015,20,74574.5,38979.5,74.42
30-May-15,2015,21,55712.0,26042.0,70.92
6-Jun-15,2015,22,65648.5,39558.5,69.81
13-Jun-15,2015,23,72209.0,58105.0,72.79
20-Jun-15,2015,24,76067.0,44659.0,70.51
27-Jun-15,2015,25,67983.0,49230.0,73.45
4-Jul-15,2015,26,71141.0,55117.0,69.37
11-Jul-15,2015,27,71980.0,37773.0,73.49
18-Jul-15,2015,28,70998.0,29659.0,68.63
25-Jul-15,2015,29,76523.0,22677.0,69.81
1-Aug-15,2015,30,75428.0,46198.0,68.88
8-Aug-15,2015,31,78059.0,55262.0,66.93
15-Aug-15,2015,32,65200.0,47040.0,67.82
22-Aug-15,2015,33,64034.0,34540.0,69.56
29-Aug-15,2015,34,69097.67,45614.0,68.1
5-Sep-15,2015,35,72996.0,40057.0,67.98
12-Sep-15,2015,36,67113.0,44402.0,67.51
19-Sep-15,2015,37,110612.0,70584.0,66.77
26-Sep-15,2015,38,82823.0,46185.0,69.99
3-Oct-15,2015,39,99993.0,60786.0,68.56
10-Oct-15,2015,40,92326.0,64022.0,67.8
17-Oct-15,2015,41,86184.0,47373.0,71.56
24-Oct-15,2015,42,76220.0,48705.0,71.07
31-Oct-15,2015,43,72281.0,35800.0,69.91
7-Nov-15,2015,44,90198.0,49057.0,69.06
14-Nov-15,2015,45,81528.0,56009.0,68.89
