week_ending,year,serial_no,ortho_dust_offer_qty,ortho_dust_sold_qty,ortho_dust_avg_price
14-Jan-12,2012,2,22068.0,6361.0,58.79
21-Jan-12,2012,3,15810.0,1463.0,70.03
28-Jan-12,2012,4,14805.0,6122.0,55.15
4-Feb-12,2012,5,12010.0,3450.0,65.16
11-Feb-12,2012,6,4176.0,1764.0,61.78
18-Feb-12,2012,7,6642.5,2416.5,66.96
25-Feb-12,2012,8,8348.0,6166.0,65.14
3-Mar-12,2012,9,7608.0,5490.0,63.69
10-Mar-12,2012,10,10923.0,4763.0,67.19
17-Mar-12,2012,11,7197.0,2680.0,67.4
24-Mar-12,2012,12,11642.0,5291.0,68.57
31-Mar-12,2012,13,1152.0,1152.0,84.5
7-Apr-12,2012,14,6663.67,3041.0,73.49
14-Apr-12,2012,15,5405.0,4413.0,66.2
21-Apr-12,2012,16,1319.0,573.0,85.21
28-Apr-12,2012,17,9093.0,5367.0,70.69
5-May-12,2012,18,1932.0,1188.0,77.67
12-May-12,2012,19,9024.0,4130.0,75.71
19-May-12,2012,20,3827.0,2677.0,81.22
26-May-12,2012,21,2345.0,703.0,81.62
2-Jun-12,2012,22,7919.0,7402.0,82.88
9-Jun-12,2012,23,7598.0,5480.0,84.41
16-Jun-12,2012,24,11228.0,8642.0,88.34
23-Jun-12,2012,25,15877.0,6602.0,80.65
30-Jun-12,2012,26,21059.0,7606.0,82.85
7-Jul-12,2012,27,20970.0,4983.0,79.7
14-Jul-12,2012,28,20981.0,4710.0,74.5
21-Jul-12,2012,29,21488.0,7715.0,75.6
28-Jul-12,2012,30,17493.0,7099.0,78.24
4-Aug-12,2012,31,16160.0,6482.0,76.45
11-Aug-12,2012,32,18851.0,9265.0,73.79
18-Aug-12,2012,33,14392.0,11558.0,83.15
25-Aug-12,2012,34,15476.0,5519.0,73.73
1-Sep-12,2012,35,16239.67,8780.67,76.89
8-Sep-12,2012,36,14727.0,11023.0,75.02
15-Sep-12,2012,37,9522.0,8444.0,85.7
22-Sep-12,2012,38,16586.0,11334.0,87.63
29-Sep-12,2012,39,10030.0,7411.0,83.98
6-Oct-12,2012,40,8942.0,4620.0,79.76
13-Oct-12,2012,41,4695.0,2976.0,91.06
20-Oct-12,2012,42,11193.0,8289.0,79.86
27-Oct-12,2012,43,6854.0,4254.0,84.17
3-Nov-12,2012,44,10636.0,9264.0,84.76
10-Nov-12,2012,45,7569.0,5057.0,90.34
17-Nov-12,2012,46,19708.0,11928.0,79.2
24-Nov-12,2012,47,23577.0,19639.0,80.17
1-Dec-12,2012,48,20280.0,12281.0,85.83
8-Dec-12,2012,49,12844.0,9574.0,88.02
15-Dec-12,2012,50,12589.0,6509.0,82.51
22-Dec-12,2012,51,17315.0,9128.0,84.29
29-Dec-12,2012,52,14249.33,8403.67,84.94
12-Jan-13,2013,2,16525.0,8529.0,83.03
19-Jan-13,2013,3,21363.0,7904.0,80.24
26-Jan-13,2013,4,17798.0,13076.0,87.88
2-Feb-13,2013,5,15475.0,10078.0,87.56
9-Feb-13,2013,6,10756.0,8409.0,83.92
16-Feb-13,2013,7,10086.0,9014.0,91.74
23-Feb-13,2013,8,10940.0,8801.0,88.98
2-Mar-13,2013,9,2379.0,1404.0,91.05
9-Mar-13,2013,10,7064.0,6497.0,90.36
16-Mar-13,2013,11,4739.0,4323.0,98.6
23-Mar-13,2013,12,7609.0,5839.0,103.12
30-Mar-13,2013,13,6470.67,5553.0,97.36
6-Apr-13,2013,14,3471.0,2533.0,97.24
13-Apr-13,2013,15,6760.0,2764.0,90.64
20-Apr-13,2013,16,9854.0,8574.0,89.9
27-Apr-13,2013,17,7175.0,6167.0,90.91
4-May-13,2013,18,4142.0,3946.0,99.69
11-May-13,2013,19,7966.0,7470.0,89.49
18-May-13,2013,20,5792.0,5297.0,97.01
25-May-13,2013,21,2026.0,1630.0,87.22
1-Jun-13,2013,22,10996.0,9412.0,87.79
8-Jun-13,2013,23,7614.0,6274.0,88.4
15-Jun-13,2013,24,19198.0,13567.0,72.34
22-Jun-13,2013,25,16084.0,9267.0,80.76
29-Jun-13,2013,26,10899.0,4368.0,73.77
6-Jul-13,2013,27,8669.0,4155.0,87.21
