week_ending,year,serial_no,ortho_leaf_offer_qty,ortho_leaf_sold_qty,ortho_leaf_avg_price
14-Jan-12,2012,2,188372.0,142808.0,84.54
21-Jan-12,2012,3,135846.0,101313.0,86.53
28-Jan-12,2012,4,164846.0,118431.0,93.37
4-Feb-12,2012,5,136420.0,100359.0,92.29
11-Feb-12,2012,6,133988.0,78319.0,93.97
18-Feb-12,2012,7,116067.0,69143.0,97.0
25-Feb-12,2012,8,66897.0,56865.0,109.61
3-Mar-12,2012,9,74863.0,68782.0,111.02
10-Mar-12,2012,10,72974.0,59897.0,91.98
17-Mar-12,2012,11,52849.0,45456.0,109.33
24-Mar-12,2012,12,56506.0,51275.0,102.74
31-Mar-12,2012,13,68671.0,53858.0,109.37
7-Apr-12,2012,14,59342.0,50196.33,107.15
14-Apr-12,2012,15,84989.0,75740.0,103.38
21-Apr-12,2012,16,55261.0,44286.0,112.57
28-Apr-12,2012,17,115367.0,105767.0,111.37
5-May-12,2012,18,95279.0,78844.0,115.1
12-May-12,2012,19,91374.0,70814.0,114.55
19-May-12,2012,20,104505.5,79605.5,113.83
26-May-12,2012,21,113967.0,90582.0,116.48
2-Jun-12,2012,22,170294.0,145050.0,116.03
9-Jun-12,2012,23,209388.0,165502.0,112.68
16-Jun-12,2012,24,188719.0,106650.0,111.31
23-Jun-12,2012,25,265611.0,166097.0,106.31
30-Jun-12,2012,26,287920.0,181164.0,105.9
7-Jul-12,2012,27,210623.0,158292.0,110.34
14-Jul-12,2012,28,231536.0,185462.0,106.21
21-Jul-12,2012,29,185566.0,152026.0,104.0
28-Jul-12,2012,30,163274.0,127009.0,109.98
4-Aug-12,2012,31,131698.0,97118.0,122.72
11-Aug-12,2012,32,119916.0,91115.0,124.19
18-Aug-12,2012,33,154084.0,99948.0,122.53
25-Aug-12,2012,34,141166.0,92556.0,126.99
1-Sep-12,2012,35,138388.67,94539.67,124.57
8-Sep-12,2012,36,109824.0,81104.0,124.15
15-Sep-12,2012,37,131219.0,100572.0,133.08
22-Sep-12,2012,38,325567.0,144163.0,125.8
29-Sep-12,2012,39,126880.0,82234.0,127.08
6-Oct-12,2012,40,140438.0,94705.0,133.45
13-Oct-12,2012,41,87683.0,69116.0,127.32
20-Oct-12,2012,42,137023.0,93460.0,118.08
27-Oct-12,2012,43,165030.0,120953.0,117.48
3-Nov-12,2012,44,226524.0,144238.0,121.21
10-Nov-12,2012,45,173963.0,118610.0,116.18
17-Nov-12,2012,46,242968.0,183829.0,117.9
24-Nov-12,2012,47,243453.0,166283.0,115.48
1-Dec-12,2012,48,201508.0,171840.0,117.52
8-Dec-12,2012,49,159560.0,122692.0,118.67
15-Dec-12,2012,50,144074.0,96827.0,125.46
22-Dec-12,2012,51,188788.0,134648.0,123.65
29-Dec-12,2012,52,164140.67,118055.67,122.59
12-Jan-13,2013,2,147671.0,82064.0,127.74
19-Jan-13,2013,3,308139.0,206818.0,126.82
26-Jan-13,2013,4,205623.0,117250.0,120.45
2-Feb-13,2013,5,196720.0,129647.5,119.42
